id,short_name,name,start_date,end_date,city,country
2010-AWGs-CCWG9,AWGs CCWG9,Bonn Climate Change Talks - April 2010,2010-04-09,2010-04-11,Bonn,Germany
2010-SB-32-AWGs-,SB 32 - AWGs ,Bonn Climate Change Talks - May/June 2010,2010-05-31,2010-06-11,Bonn,Germany
2010-AWGs-CCWG11,AWGs CCWG11,Bonn Climate Change Talks - August 2010,2010-08-02,2010-08-06,Bonn,Germany
2010-AWGs-CCWG12,AWGs CCWG12,Tianjin Climate Change Talks - October 2010,2010-10-04,2010-10-09,Tianjin,China
2010-IPCC-32,IPCC-32,Thirty- second Session of the Intergovernmental Panel on Climate Change (IPCC),2010-10-11,2010-10-14,Busan,Republic of Korea
2010-COP-16-CMP-6,COP 16 - CMP 6,Cancún Climate Change Conference,2010-11-29,2010-12-11,Cancún,Mexico
2011-AWGs-CCWG14,AWGs CCWG14,UN Climate Change Conference Bangkok - April 2011,2011-04-03,2011-04-08,UNCC,Bangkok
2011-IPCC-33,IPCC-33,Thirty- third Session of the Intergovernmental Panel on Climate Change (IPCC),2011-05-10,2011-05-13,Abu Dhabi,United Arab Emirates
2011-UNFCCC-WS-TNA,UNFCCC WS TNA,UN Framework Convention on Climate Change (UNFCCC) Workshop on Technology Needs Assessments,2011-06-01,2011-06-02,Bonn,Germany
2011-SB-34,SB 34,UN Climate Change Conference June 2011,2011-06-06,2011-06-17,Bonn,Germany
2011-AWGs-CCWG16,AWGs CCWG16,UN Climate Change Conference October 2011,2011-10-01,2011-10-07,Panama City,Panama
2011-IPCC-34,IPCC-34,Thirty- fourth Session of the Intergovernmental Panel on Climate Change (IPCC),2011-11-18,2011-11-19,Kampala,Uganda
2011-COP-17-CMP7,COP 17 - CMP7,Durban Climate Change Conference - COP17/CMP7,2011-11-28,2011-12-09,Durban,South Africa
2012-SB-36,SB 36,Bonn Climate Change Conference - May 2012,2012-05-14,2012-05-25,Bonn,Germany
2012-IPCC-35,IPCC-35,Thirty- fifth Session of the Intergovernmental Panel on Climate Change (IPCC),2012-06-06,2012-06-09,Geneva,Switzerland
2012-AWGs-CCWG17i,AWGs CCWG17i,Bangkok Climate Change Conference - August 2012,2012-08-30,2012-09-05,Bangkok,Thailand
2012-COP-18-CMP8,COP 18 - CMP8,Doha Climate Change Conference - November 2012,2012-11-26,2012-12-08,Doha,Qatar
2012-ADP-2,ADP 2,Bonn Climate Change Conference - April 2013,2013-04-29,2013-05-03,Bonn,Germany
2013-SB-38,SB 38,Bonn Climate Change Conference - June 2013,2013-06-03,2013-06-14,Bonn,Germany
2013-IPCC-36,IPCC-36,Twelfth Session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and Thirty- sixth Session of the IPCC,2013-09-23,2013-09-26,Stockholm,Sweden
2013-IPCC-37,IPCC-37,Thirty- seventh session of the Intergovernmental Panel on Climate Change (IPCC- 37),2013-10-14,2013-10-17,Batumi,Georgia
2013-COP-19-CMP9,COP 19 - CMP9,Warsaw Climate Change Conference - November 2013,2013-11-11,2013-11-23,Warsaw,Poland
2014-ADP-2-4,ADP 2-4,Bonn Climate Change Conference - March 2014,2014-03-10,2014-03-14,Bonn,Germany
2014-IPCC-38,IPCC-38,Tenth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group II (WGII- 10)and Thirty- eighth Session of the IPCC (IPCC- 38),2014-03-10,2014-03-14,Yokohama,Japan
2014-IPCC-39,IPCC-39,Twelfth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group III (WGIII- 12)and Thirty- ninth Session of the Intergovernmental Panel on Climate Change (IPCC- 39),2014-04-07,2014-04-12,Berlin,Germany
2014-SB-40,SB 40,Bonn Climate Change Conference - June 2014,2014-06-04,2014-06-15,Bonn,Germany
2014-ADP-2-6,ADP 2-6,Bonn Climate Change Conference - October 2014,2014-10-20,2014-10-25,Bonn,Germany
2014-IPCC-40,IPCC-40,Fortieth session of the Intergovernmental Panel on Climate Change (IPCC- 40),2014-10-27,2014-10-31,Copenhagen,Denmark
2014-COP-20-CMP10,COP 20 - CMP10,Lima Climate Change Conference - December 2014,2014-12-01,2014-12-14,Lima,Peru
2015-ADP-2-8,ADP 2-8,Geneva Climate Change Conference - February 2015,2015-02-08,2015-02-13,Geneva,Switzerland
2015-IPCC-41,IPCC-41,Forty- first Session of the Intergovernmental Panel on Climate Change (IPCC- 41),2015-02-24,2015-02-27,UNEP HQ,Nairobi
2015-SB-42,SB 42,Bonn Climate Change Conference - June 2015,2015-06-01,2015-06-11,Bonn,Germany
2015-ADP-2-10,ADP 2-10,Bonn Climate Change Conference - August 2015,2015-08-31,2015-09-04,Bonn,Germany
2015-IPCC-42,IPCC-42,42nd Session of the Intergovernmental Panel on Climate Change (IPCC- 42),2015-10-05,2015-10-08,Dubrovnik,Croatia
2015-ADP-2-11,ADP 2-11,Bonn Climate Change Conference - October 2015,2015-10-19,2015-10-23,Bonn,Germany
