id,event_id,issue,date,pdf,html
enb12569e,2013-SB-38,569,2013-06-03,http://www.iisd.ca/download/pdf/enb12569e.pdf,http://www.iisd.ca/vol12/enb12569e.html
enb12570e,2013-SB-38,570,2013-06-04,http://www.iisd.ca/download/pdf/enb12570e.pdf,http://www.iisd.ca/vol12/enb12570e.html
enb12571e,2013-SB-38,571,2013-06-05,http://www.iisd.ca/download/pdf/enb12571e.pdf,http://www.iisd.ca/vol12/enb12571e.html
enb12572e,2013-SB-38,572,2013-06-06,http://www.iisd.ca/download/pdf/enb12572e.pdf,http://www.iisd.ca/vol12/enb12572e.html
enb12573e,2013-SB-38,573,2013-06-07,http://www.iisd.ca/download/pdf/enb12573e.pdf,http://www.iisd.ca/vol12/enb12573e.html
enb12574e,2013-SB-38,574,2013-06-08,http://www.iisd.ca/download/pdf/enb12574e.pdf,http://www.iisd.ca/vol12/enb12574e.html
enb12575e,2013-SB-38,575,2013-06-10,http://www.iisd.ca/download/pdf/enb12575e.pdf,http://www.iisd.ca/vol12/enb12575e.html
enb12576e,2013-SB-38,576,2013-06-11,http://www.iisd.ca/download/pdf/enb12576e.pdf,http://www.iisd.ca/vol12/enb12576e.html
enb12577e,2013-SB-38,577,2013-06-12,http://www.iisd.ca/download/pdf/enb12577e.pdf,http://www.iisd.ca/vol12/enb12577e.html
enb12578e,2013-SB-38,578,2013-06-13,http://www.iisd.ca/download/pdf/enb12578e.pdf,http://www.iisd.ca/vol12/enb12578e.html
enb12579e,2013-SB-38,579,2013-06-14,http://www.iisd.ca/download/pdf/enb12579e.pdf,http://www.iisd.ca/vol12/enb12579e.html
enb12580e,2013-SB-38,580,2013-06-14,http://www.iisd.ca/download/pdf/enb12580e.pdf,http://www.iisd.ca/vol12/enb12580e.html
enb12581e,2013-IPCC-36,581,2013-09-26,http://www.iisd.ca/download/pdf/enb12581e.pdf,http://www.iisd.ca/vol12/enb12581e.html
enb12582e,2013-IPCC-37,582,2013-10-17,http://www.iisd.ca/download/pdf/enb12582e.pdf,http://www.iisd.ca/vol12/enb12582e.html
enb12583e,2013-COP-19-CMP9,583,2013-11-11,http://www.iisd.ca/download/pdf/enb12583e.pdf,http://www.iisd.ca/vol12/enb12583e.html
enb12584e,2013-COP-19-CMP9,584,2013-11-12,http://www.iisd.ca/download/pdf/enb12584e.pdf,http://www.iisd.ca/vol12/enb12584e.html
enb12585e,2013-COP-19-CMP9,585,2013-11-13,http://www.iisd.ca/download/pdf/enb12585e.pdf,http://www.iisd.ca/vol12/enb12585e.html
enb12586e,2013-COP-19-CMP9,586,2013-11-14,http://www.iisd.ca/download/pdf/enb12586e.pdf,http://www.iisd.ca/vol12/enb12586e.html
enb12587e,2013-COP-19-CMP9,587,2013-11-15,http://www.iisd.ca/download/pdf/enb12587e.pdf,http://www.iisd.ca/vol12/enb12587e.html
enb12588e,2013-COP-19-CMP9,588,2013-11-16,http://www.iisd.ca/download/pdf/enb12588e.pdf,http://www.iisd.ca/vol12/enb12588e.html
enb12589e,2013-COP-19-CMP9,589,2013-11-18,http://www.iisd.ca/download/pdf/enb12589e.pdf,http://www.iisd.ca/vol12/enb12589e.html
enb12590e,2013-COP-19-CMP9,590,2013-11-19,http://www.iisd.ca/download/pdf/enb12590e.pdf,http://www.iisd.ca/vol12/enb12590e.html
